id,SQ1,SQ2,SQ3,SQ3_n2,SQ3_n3,SQ4,SQ5,SQ5_m2,SQ5_m3,SQ5_m4,SQ5_m5,SQ5_m6,SQ5_m7,SQ5_m8,SQ6,SQ7,SQ8,SQ8_n2,SQ8_n3,SQ11,SQ12,SQ13,SQ14_1,SQ14,SQ15,SQ15_m2,SQ15_m3,SQ15_m4,SQ15_m5,SQ15_m6,SQ15_m7,SQ15_m8,SQ15_m9,C1,C2,C3,C4,C4_m2,C4_m3,C5,C5_m2,C5_m3,C6,C6_m2,C6_m3,C6_m4,C6_m5,C6_m6,C6_m7,C6_m8,C7,C7_m2,C7_m3,C7_m4,C7_m5,C8,C8_n2,C8_n3,C8_n4,C8_n5,C9,C10,C11,C12,C13,C14,C14_m2,C14_m3,C14_m4,C14_m5,C14_m6,C15,C15_n2,C15_n3,C15_n4,B1,B2,B2_n2,B2_n3,B2_n4,B2_n5,A1,A1_m2,A1_m3,A1_m4,A1_m5,A1_m6,A1_m7,A1_m8,A1_m9,A1_m10,A1_m11,A1_m12,A1_m13,A1_m14,A2,A2_m2,A2_m3,A3,A3_m2,A3_m3,B3,B3_m2,B3_m3,B3_m4,B3_m5,B3_m6,B3_m7,B3_m8,B4,B4_n2,B4_n3,B4_n4,B4_n5,B4_n6,B4_n7,B4_n8,B5,B5_n2,B5_n3,B5_n4,B5_n5,B5_n6,B5_n7,B5_n8,B6,B6_m2,B6_m3,B6_m4,B6_m5,B6_n2,B6_n2_m2,B6_n2_m3,B6_n2_m4,B6_n2_m5,B6_n3,B6_n3_m2,B6_n3_m3,B6_n3_m4,B6_n3_m5,B6_n4,B6_n4_m2,B6_n4_m3,B6_n4_m4,B6_n4_m5,B6_n5,B6_n5_m2,B6_n5_m3,B6_n5_m4,B6_n5_m5,B6_n6,B6_n6_m2,B6_n6_m3,B6_n6_m4,B6_n6_m5,B6_n7,B6_n7_m2,B6_n7_m3,B6_n7_m4,B6_n7_m5,B6_n8,B6_n8_m2,B6_n8_m3,B6_n8_m4,B6_n8_m5,G1,G2,G2_m2,G2_m3,G2_m4,G2_m5,G2_m6,G2_m7,G2_m8,G2_m9,G2_m10,G2_m11,G2_m12,G2_m13,G2_m14,G3,G3_m2,G3_m3,G3_m4,G3_m5,G4,G4_n2,G4_n3,G4_n4,G4_n5,G5,G5_n2,G5_n3,G5_n4,G5_n5,D2,D2_m2,D2_m3,D2_m4,D2_m5,D3,D3_n2,D3_n3,D3_n4,D3_n5,D4,D4_m2,D4_m3,D4_m4,D4_m5,D5,D5_n2,D5_n3,D6,D6_m2,D6_m3,D6_m4,D6_m5,D7,D7_m2,D8,D8_m2,D8_m3,D8_m4,D8_m5,D9,D9_n2,D10,D10_m2,D10_m3,D11,D11_m2,D11_m3,D11_m4,D11_m5,D12,D12_n2,D13,D13_m2,D13_m3,D14,D14_m2,D14_m3,D14_m4,D14_m5,D14_n2,D14_n2_m2,D14_n2_m3,D14_n2_m4,D14_n2_m5,D14_n3,D14_n3_m2,D14_n3_m3,D14_n3_m4,D14_n3_m5,D14_n4,D14_n4_m2,D14_n4_m3,D14_n4_m4,D14_n4_m5,D14_n5,D14_n5_m2,D14_n5_m3,D14_n5_m4,D14_n5_m5,D14_n6,D14_n6_m2,D14_n6_m3,D14_n6_m4,D14_n6_m5,D14_n7,D14_n7_m2,D14_n7_m3,D14_n7_m4,D14_n7_m5,D14_n8,D14_n8_m2,D14_n8_m3,D14_n8_m4,D14_n8_m5,D14_n9,D14_n9_m2,D14_n9_m3,D14_n9_m4,D14_n9_m5,D14_n10,D14_n10_m2,D14_n10_m3,D14_n10_m4,D14_n10_m5,D14_n11,D14_n11_m2,D14_n11_m3,D14_n11_m4,D14_n11_m5,D14_n12,D14_n12_m2,D14_n12_m3,D14_n12_m4,D14_n12_m5,D14_n13,D14_n13_m2,D14_n13_m3,D14_n13_m4,D14_n13_m5,D15,D16,D16_n2,D17,D18,D19,D20,D21,D22,D23,D24,D24_m2,D24_m3,D24_m4,D24_m5,D25,D26,D26_n2,D26_n3,D26_n4,D27,E1,E2,E2_m2,E2_m3,E2_m4,E2_m5,E2_m6,E2_m7,E3,E3_m2,E3_m3,E3_m4,E3_m5,E3_m6,E3_m7,F1,F2,F2_m2,F2_m3,F2_m4,F2_m5,F3,F3_n2,F3_n3,F3_n4,F3_n5,F4,Q1,Q1_m2,Q1_m3,Q1_m4,Q1_m5,Q1_m6,Q1_m7,Q2,Q2_n2,Q2_n3,Q2_n4,Q2_n5,Q2_n6,Q2_n7,Q3,Q4,Q5,Q6,Q7,C15_n5,swsq
1,2,21,36,7, ,2,8, , , , , , , ,4,1,2013,8,1,1,1,4, ,9,0,0,0,0,0,0,1,1,0,1,7,3,9,10,1,1, , ,0,0,0,0,0,0,0,1,0,0,1,0,0, , ,2, , ,2, , , , , , , , , , ,60,0,0,15,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,12,10,2,7,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7,5,1,2, , , ,1,0, , , ,1,0, , , ,1,0, , , ,1,0,0, , ,1,0, , , , , , , , ,0,0, , , ,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0, ,1,0,0,0, ,4,2,2,2, ,1,0,0,0, ,7,0,0,0, , , , , , ,0,0,0,0,0, , , ,1,0,1,2, , , ,0,40,9,1,10,0,0, , , ,0,0,0,0,0,1,0, , , ,0,0, , , ,0,0, , , ,0,0,0, , ,0,0,0, , ,0,0, , , , , , , , ,0, , , , ,1,0, , , ,1,0,0,0, , , , , , , , , , , , , , , , ,4,100,0,2,0,0,1,3,1,1,0,0, , , ,0,4,7,7,7,7,7, , , , , , , ,1,0,0,0,0,0,0,3,1,0, , , ,10000,12000,15000,20000,25000,3,0,0,1,0,0,0,0,0,0,10,0,0,0,90,1,1,1,4,4,25,4
2,2,21,26,2, ,1,8, , , , , , , ,4,2,2013,8,1,1,1,2, ,10,0,0,0,0,0,1,1,0,0,1,7,4,4,9,5,3,1, ,0,0,1,0,0,0,0,0,1,0,1,0,0,2, ,2, , ,2, , , , , , , , , , ,80,10,0,10,7,7,7,7,7,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,8,11,6,7,2,0,1,0,0,0,1,1,0,0,2,0,0,0,5,4,0,0,5,0,0,0,7,7,0,1,3, , , ,0,0, , , ,2,0, , , ,2,0, , , ,1,2,0, , ,0,0, , , , , , , , ,1,2, , , ,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0, ,1,0,1,0, ,4,0,4,0, ,1,0,1,0, ,6,0,7,0, , , , , , ,100,0,0,1,0, , , ,1,3,1,0, , , ,1,0,9,5,4,0,0, , , ,0,0,4,5,9,0,0, , , ,0,0, , , ,0,0, , , ,1,2,3, , ,1,2,3, , ,0,0, , , , , , , , ,0, , , , ,1,0, , , ,0,0,0,0, , , , , , , , , , , , , , , , ,1,100,0,1,3,1,0,0,2,2,0,0, , , ,0,5,6,6,6,6,7, , , , , , , ,0,1,0,0,1,0,0,4,2,0, , , ,20000,20000,24000,24000,30000,3,0,0,0,1,0,0,0,0,0,0,60,0,0,40,2,0,0,9,5,0, 
3,2,21,42,5, ,2,8, , , , , , , ,4,2,2013,7,1,1,1,3, ,10,1,1,1,1,0,0,1,0,0,1,5,6,1,4,6,1,6,4,1,0,1,0,0,0,1,0,1,0,1,0,0,2, ,2, , ,2, , , , , , , , , , ,60,20,0,20,6,6,6,6,7,7,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,10,3,7,2,1,1,1,1,1,0,0,1,0,3,4,3,3,0,0,5,0,3,5,5,4,0,0,7,0,0, , , , ,0,0, , , ,0,0, , , ,0,0, , , ,1,2,3, , ,0,0, , , , , , , , ,1,2, , , ,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0, ,2,0,2,0, ,3,0,3,0, ,1,0,1,0, ,7,0,7,0, , , , , , ,60,0,40,1,2, , , ,1,2,2,3, , , ,1,30,3,1,10,1,0, , , ,1,0,10,6,5,1,2, , , ,0,0, , , ,1,0, , , ,0,0, , , ,4,0, , , ,1,0, , , , , , , , ,0, , , , ,0,0, , , ,2,3,4,0, , , , , , , , , , , , , , , , ,2,100,0,2,0,0,2,0,1,1,0,0, , , ,0,5,6,6,7,6,7, , , , , , , ,0,1,1,0,1,0,0,2,3,0, , , ,15000,17000,19000,20000,20000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,100,1,2,0,11,5,0, 
4,2,21,32,3, ,2,8, , , , , , , ,4,1,2013,8,1,3,1,4, ,9,0,0,0,0,0,0,1,1,0,1,7,3,10,2,9,2,1, ,0,0,0,0,0,0,0,1,1,0,0,0,0,2, , , , ,3, , , , , , , , , , ,90,0,0,10,7,7,7,7,7, ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,3,16,7,8,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7,5,1,2, , , ,1,2, , , ,1,0, , , ,1,2, , , ,4,0,0, , ,2,0, , , , , , , , ,0, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1, ,1,0,0,1, ,4,1,1,4, ,1,0,0,1, ,7,0,0,7, , , , , , ,0,0,0,0,0, , , ,1,0,1,0, , , ,0,15,9,0,0,0,0, , , ,0,0,0,0,0,0,0, , , ,0,0, , , ,0,0, , , ,0,0, , , ,0,0, , , ,0,0, , , , , , , , ,0, , , , ,2,0, , , ,0,0,0,0, , , , , , , , , , , , , , , , ,1,100,0,2,0,0,1,2,1,1,0,0, , , ,0,6,6,7,7,7,7, , , , , , , ,1,0,0,0,1,0,0,3,2,0, , , ,10000,12000,20000,25000,30000,3,1,0,0,1,0,0,0,5,0,0,15,0,0,80,1,1,2,8,4,0,3
5,2,21,25,2, ,1,8, , , , , , , ,4,1,2013,8,1,1,1,4, ,10,0,1,0,1,0,0,1,0,0,1,7,7,1,9,2,1, , ,0,0,0,0,0,0,0,1,0,0,1,0,0, , ,2, , ,2, , , , , , , , , , ,80,0,0,10,7,7,7,7,5,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,12,13,7,2,1,1,1,0,1,0,0,1,0,2,3,0,3,0,0,5,0,4,5,0,4,0,0,7,0,0, , , , ,0,0, , , ,2,0, , , ,0,0, , , ,3,0,0, , ,6,0, , , , , , , , ,3, , , , ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1, ,1,3,0,1, ,4,4,0,4, ,0,0,0,1, ,0,0,0,6, , , , , , ,0,0,0,0,0, , , ,1,0,4,0, , , ,0,15,9,0,0,0,0, , , ,0,0,0,0,0,0,0, , , ,0,0, , , ,0,0, , , ,0,0, , , ,0,0, , , ,0,0, , , , , , , , ,0, , , , ,2,0, , , ,0,0,0,0, , , , , , , , , , , , , , , , ,1,100,0,2,0,0,1,4,1,1,0,0, , , ,0,2,5,5,7,5,6, , , , , , , ,1,0,0,1,0,0,0,5,4,0, , , ,1000,20000,30000,40000,50000,3,0,0,0,0,0,0,1,0,0,0,0,0,0,100,2,0,0,11,4,10,2
6,2,21,25,2, ,2,8, , , , , , , ,4,2,2013,8,1,1,1,2, ,10,0,1,1,0,0,0,1,0,0,1,7,6,1,2,4,1,6,2,1,0,1,0,0,0,1,0,1,0,1,0,0,2, ,2, , ,2, , , , , , , , , , ,50,30,10,10,6,5,7,6,7,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,12,16,2,7,3,0,1,1,1,0,0,1,0,0,4,3,2,0,0,4,0,0,6,5,3,0,0,6,0,3, , , , ,0,0, , , ,0,0, , , ,0,0, , , ,1,2,3, , ,1,0, , , , , , , , ,1, , , , ,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0, ,2,0,2,0, ,3,0,3,0, ,1,0,1,0, ,6,0,6,0, , , , , , ,80,5,15,1,0, , , ,1,2,5,3, , , ,1,30,4,10,3,1,2, , , ,1,30,4,10,3,3,0, , , ,0,0, , , ,1,2, , , ,4,0, , , ,5,0, , , ,1,2, , , , , , , , ,0, , , , ,0,0, , , ,5,6,2,0, , , , , , , , , , , , , , , , ,3,100,0,1,2,1,0,0,1,1,0,0, , , ,0,3,4,5,5,6,6, , , , , , , ,1,0,0,1,1,0,0,5,5,0, , , ,10000,15000,16000,18000,20000,3,0,0,1,1,0,0,0,0,0,20,10,0,0,70,2,0,0,9,4,0, 
7,2,21,40,5, ,2,8, , , , , , , ,4,2,2013,8,1,1,1,3, ,9,0,0,0,0,0,0,1,0,0,1,7,7,4,1,3,4,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,2, , , , ,3, , , , , , , , , , ,50,30,0,20,6,7,6,6,7,7,0,0,0,0,0,0,0,0,1,1,0,1,0,0,13,2,12,7,2,5,0,1,0,0,0,0,1,1,0,1,0,0,0,0,4,1,0,2,0,0,0,0,6,4,1,2, , , ,0,0, , , ,3,0, , , ,4,0, , , ,4,0, , , ,2,0, , , , , , , , ,0, , , , ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,3,0,0,0, ,4,0,0,0, ,1,0,0,0, ,5,0,0,0, , , , , , ,0,0,0,0,0, , , ,1,0,3,0, , , ,1,20,4,1,9,0,0, , , ,0,0,0,0,0,4,5, , , ,0,0, , , ,0,0, , , ,5,0, , , ,0,0, , , ,0, , , , , , , , , ,0, , , , ,3,0, , , ,0,0,0,0, , , , , , , , , , , , , , , , ,2,100,0,2,0,0,1,6,1,1,0,0, , , ,0,1,7,6,6,5,7, , , , , , , ,1,1,1,0,1,0,0,3,6,0, , , ,10000,15000,20000,22000,24000,3,0,1,0,0,0,0,0,0,10,0,0,0,0,90,1,1,4,8,4,0,1
8,2,21,28,3, ,1,8, , , , , , , ,4,1,2013,8,1,1,1,2, ,10,0,1,0,0,0,0,1,1,0,1,7,4,3,2,5,3,2,5,0,0,1,0,0,0,1,0,1,0,0,0,0,2, , , , ,2, , , , , , , , , , ,70,0,0,30,7,7,7,7,7,7,0,0,0,0,0,0,0,1,1,0,0,1,1,0,8,16,3,2,7,8,1,1,0,0,0,0,1,1,2,5,0,0,0,0,4,4,3,7,0,0,0,0,7,7,0, , , , ,0,0, , , ,1,0, , , ,0,0, , , ,1,0, , , ,1,0, , , , , , , , ,0, , , , ,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0, ,1,1,0,0, ,4,3,3,3, ,1,0,0,0, ,6,0,0,0, , , , , , ,0,0,0,0,0, , , ,3,1,1,3, , , ,0,20,3,5,0,2,3, , , ,1,30,3,5,4,0,0, , , ,0,0, , , ,3,0, , , ,19,20, , , ,14,15, , , ,0, , , , , , , , , ,0, , , , ,0,0, , , ,0,0,0,0, , , , , , , , , , , , , , , , ,3,100,0,2,0,0,1,2,2,3,1,0, , , ,1,5,7,7,7,7,7, , , , , , , ,0,0,1,0,0,0,0,3,1,10, , , ,20000,22000,24000,26000,30000,3,0,0,0,1,0,0,0,0,0,0,20,0,0,80,2,0,0,3,4,0,4
9,2,21,22,1, ,1,8, , , , , , , ,3,2,2013,8,1,1,1,3, ,9,0,0,0,0,0,0,1,1,0,1,7,4,3,10,1,3,1,10,1,0,0,0,0,0,1,0,1,0,1,0,0,2, ,2, , ,2, , , , , , , , , , ,90,0,0,10,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,13,3,8,7,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,7,7,3, , , , ,1,2, , , ,1,0, , , ,2,0, , , ,3,0, , , ,1,0, , , , , , , , ,0, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0, ,1,1,0,0, ,4,4,3,3, ,1,1,0,0, ,6,7,0,0, , , , , , ,0,0,0,0,0, , , ,1,0,1,0, , , ,4,30,3,1,10,0,0, , , ,0,0,0,0,0,1,6, , , ,0,0, , , ,1,7, , , ,0,0, , , ,0, , , , ,0, , , , , , , , , ,0, , , , ,0,0, , , ,7,14,0,0, , , , , , , , , , , , , , , , ,3,100,0,2,0,0,1,3,1,3,1,2, , , ,1,4,7,7,7,6,7, , , , , , , ,1,0,0,0,0,0,0,3,1,13, , , ,15000,17000,20000,25000,30000,3,0,0,1,0,0,0,0,0,0,20,0,0,0,80,2,0,0,9,5,0,4
10,2,21,25,2, ,1,8, , , , , , , ,3,2,2013,8,1,1,1,2, ,10,0,0,0,0,0,0,1,1,0,2,7,3,3,4,9,3,4,9,0,0,0,0,0,0,0,1,1,0,1,0,0,2, ,2, , ,2, , , , , , , , , , ,70,0,0,20,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,5,3,2,7,4,0,1,0,1,0,0,1,1,0,2,0,2,0,0,5,4,0,4,0,4,0,0,6,6,3, , , , ,0,0, , , ,1,0, , , ,0,0, , , ,3,0, , , ,7,0, , , , , , , , ,0, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0, ,1,1,0,0, ,3,3,3,3, ,1,1,0,0, ,6,6,0,0, , , , , , ,0,0,0,0,0, , , ,1,3,1,0, , , ,1,15,3,9,4,3,0, , , ,1,0,4,9,0,0, , , , ,0,0, , , ,1,0, , , ,21,0, , , ,0, , , , ,0, , , , , , , , , ,0, , , , ,3,0, , , ,0,0,0,0, , , , , , , , , , , , , , , , ,3,100,0,2,0,0,1,3,1,3,2, , , , ,1,1,6,6,6,6,7, , , , , , , ,1,0,0,0,0,0,0,5,1,10, , , ,20000,22000,25000,27000,30000,3,0,0,0,0,0,0,1,0,0,0,0,0,0,100,2,0,0,9,5,10,4
