id,SQ1,SQ2,SQ3,SQ3_n2,SQ3_n3,SQ4,SQ5,SQ5_m2,SQ5_m3,SQ5_m4,SQ5_m5,SQ5_m6,SQ5_m7,SQ5_m8,SQ6,SQ7,SQ8,SQ8_n2,SQ8_n3,SQ11,SQ12,SQ13,SQ14_1,SQ14,SQ15,SQ15_m2,SQ15_m3,SQ15_m4,SQ15_m5,SQ15_m6,SQ15_m7,SQ15_m8,SQ15_m9,C1,C2,C3,C4,C4_m2,C4_m3,C5,C5_m2,C5_m3,C6,C6_m2,C6_m3,C6_m4,C6_m5,C6_m6,C6_m7,C6_m8,C7,C7_m2,C7_m3,C7_m4,C7_m5,C8,C8_n2,C8_n3,C8_n4,C8_n5,C9,C10,C11,C12,C13,C14,C14_m2,C14_m3,C14_m4,C14_m5,C14_m6,C15,C15_n2,C15_n3,C15_n4,B1,B2,B2_n2,B2_n3,B2_n4,B2_n5,A1,A1_m2,A1_m3,A1_m4,A1_m5,A1_m6,A1_m7,A1_m8,A1_m9,A1_m10,A1_m11,A1_m12,A1_m13,A1_m14,A2,A2_m2,A2_m3,A3,A3_m2,A3_m3,B3,B3_m2,B3_m3,B3_m4,B3_m5,B3_m6,B3_m7,B3_m8,B4,B4_n2,B4_n3,B4_n4,B4_n5,B4_n6,B4_n7,B4_n8,B5,B5_n2,B5_n3,B5_n4,B5_n5,B5_n6,B5_n7,B5_n8,B6,B6_m2,B6_m3,B6_m4,B6_m5,B6_n2,B6_n2_m2,B6_n2_m3,B6_n2_m4,B6_n2_m5,B6_n3,B6_n3_m2,B6_n3_m3,B6_n3_m4,B6_n3_m5,B6_n4,B6_n4_m2,B6_n4_m3,B6_n4_m4,B6_n4_m5,B6_n5,B6_n5_m2,B6_n5_m3,B6_n5_m4,B6_n5_m5,B6_n6,B6_n6_m2,B6_n6_m3,B6_n6_m4,B6_n6_m5,B6_n7,B6_n7_m2,B6_n7_m3,B6_n7_m4,B6_n7_m5,B6_n8,B6_n8_m2,B6_n8_m3,B6_n8_m4,B6_n8_m5,G1,G2,G2_m2,G2_m3,G2_m4,G2_m5,G2_m6,G2_m7,G2_m8,G2_m9,G2_m10,G2_m11,G2_m12,G2_m13,G2_m14,G3,G3_m2,G3_m3,G3_m4,G3_m5,G4,G4_n2,G4_n3,G4_n4,G4_n5,G5,G5_n2,G5_n3,G5_n4,G5_n5,D2,D2_m2,D2_m3,D2_m4,D2_m5,D3,D3_n2,D3_n3,D3_n4,D3_n5,D4,D4_m2,D4_m3,D4_m4,D4_m5,D5,D5_n2,D5_n3,D6,D6_m2,D6_m3,D6_m4,D6_m5,D7,D7_m2,D8,D8_m2,D8_m3,D8_m4,D8_m5,D9,D9_n2,D10,D10_m2,D10_m3,D11,D11_m2,D11_m3,D11_m4,D11_m5,D12,D12_n2,D13,D13_m2,D13_m3,D14,D14_m2,D14_m3,D14_m4,D14_m5,D14_n2,D14_n2_m2,D14_n2_m3,D14_n2_m4,D14_n2_m5,D14_n3,D14_n3_m2,D14_n3_m3,D14_n3_m4,D14_n3_m5,D14_n4,D14_n4_m2,D14_n4_m3,D14_n4_m4,D14_n4_m5,D14_n5,D14_n5_m2,D14_n5_m3,D14_n5_m4,D14_n5_m5,D14_n6,D14_n6_m2,D14_n6_m3,D14_n6_m4,D14_n6_m5,D14_n7,D14_n7_m2,D14_n7_m3,D14_n7_m4,D14_n7_m5,D14_n8,D14_n8_m2,D14_n8_m3,D14_n8_m4,D14_n8_m5,D14_n9,D14_n9_m2,D14_n9_m3,D14_n9_m4,D14_n9_m5,D14_n10,D14_n10_m2,D14_n10_m3,D14_n10_m4,D14_n10_m5,D14_n11,D14_n11_m2,D14_n11_m3,D14_n11_m4,D14_n11_m5,D14_n12,D14_n12_m2,D14_n12_m3,D14_n12_m4,D14_n12_m5,D14_n13,D14_n13_m2,D14_n13_m3,D14_n13_m4,D14_n13_m5,D15,D16,D16_n2,D17,D18,D19,D20,D21,D22,D23,D24,D24_m2,D24_m3,D24_m4,D24_m5,D25,D26,D26_n2,D26_n3,D26_n4,D27,E1,E2,E2_m2,E2_m3,E2_m4,E2_m5,E2_m6,E2_m7,E3,E3_m2,E3_m3,E3_m4,E3_m5,E3_m6,E3_m7,F1,F2,F2_m2,F2_m3,F2_m4,F2_m5,F3,F3_n2,F3_n3,F3_n4,F3_n5,F4,Q1,Q1_m2,Q1_m3,Q1_m4,Q1_m5,Q1_m6,Q1_m7,Q2,Q2_n2,Q2_n3,Q2_n4,Q2_n5,Q2_n6,Q2_n7,Q3,Q4,Q5,Q6,Q7
2,1,12,29,2,1,2,8, , , , , , , ,4,3,2013,1,1,3,1,4,1,8,1,2,7, , , , , , ,1,5,7,1,9,8,1,8,9,2,4,5, , , , , ,2,4, , , , ,1, ,1, ,3,1,2,500,12, , , , , , ,50,20,20,10,5,4,5,4,5, ,9,11,12, , , , , , , , , , , ,3,13,8,1,7,8,1,2,7, , , , , ,4,3, , , , ,4, ,6,5, , , , ,5, , , , , , , , , , , ,21, , , , ,21, , , , ,21,22, , , ,6, , , , , , , , , ,9, , , , ,2,9, , , , , , , , , , , , , ,1,2,3,4, ,2,2,2,2, ,9,9,9,9, ,2,3, , , , ,4,5, , ,1, , , , ,50,0,50,1, , , , ,2,3, , , , , , , , , , ,3, , , , ,1,0,1,8,4,107, , , , , , , , , , , , , , ,420, , , , , , , , , , , , , , , , , , , ,808, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,100,0,2, , ,1,5,1,2, , , , , , ,4,4,4,4,4,5, , , , , , , ,5, , , , , , ,3,9, , , , ,1000,2000,3000,4000,5000,2,1,2,3, , , , ,10,10,30, , , ,50,2, , ,11,6
3,1,1,33,3,1,1,8, , , , , , , ,4,1,2013,8,1,1,1,4,1,12,7,8, , , , , , , ,2,4,7,2,8,5,2,1,3,4,6, , , , , , ,4, , , , , , , ,1, ,3,1,1,2000,2, , , , , , ,40,0,50,10,5,5,5,5,5,4,6,8,10, , , , , , , , , , , ,8,3,7,8,7,1,1,2,3,7,8, , , ,2,2,2, , , ,3,5,5,1,4, , , ,5,7, , , , , , , , , , , , , , , ,8, , , , ,8, , , , ,8, , , , , , , , , , , , , , ,1,6,10, , , , , , , , , , , , ,2,3, , , , ,1,1, , , ,2,2, , ,3, , , , , , ,4, , , , , , , ,100,0,0,1, , , , ,1,3,8, , , , ,1,0,8,5,1,3, , , , ,3,0,8,1,5,107,114, , , , , , , , , , , , , , , , , , ,514,515, , , , , , , , , , , , , ,801,802, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,100,0,2, , ,2, ,1,3,3, , , , ,1,4,4,4,4,4,1,1, , , , , , , , , , , , , ,5,8, , , , ,0,0,0,0,100000,2,1,2,4, , , , ,10,40, ,5, , ,45,1,1,1,6,5
4,1,6,40,5,2,2,8, , , , , , , ,4,1,2013,1,1,1,1,3,1,8,1,4,7, , , , , , ,1,7,7,2,8,1,1,8,2,2,6, , , , , , ,2, , , , , ,1, , , ,2,1,1,3000,3, , , , , , ,50,30,10,10,4,4,7,7,4,4,1,2, , , , , , , , , , , , ,14,7,13,1,2,4,1,4,7, , , , , ,3, , ,3, , ,3, ,4, , ,4, , ,4, , , , , , ,22, , , , ,13, , , , , , , , , ,24, , , , ,43, , , , , , , , , ,43, , , , ,3, , , , , , , , , , , , , , ,4, , , , , , , ,3, , , , , , ,4, , , , , , , ,4, , , , , , , , , , , , , , ,2, , , , , , , , , , , ,12, , , , ,2,50,4,1,8,106, , , , , , , , , , , , , , ,9998, , , , , , , , , , , , , , , , , , , ,9998, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,50,50,2, , ,1,2,1,2, , , , , , ,4,4,4,4,4,7, , , , , , , ,3, , , , , , ,4,6, , , , ,200000,400000,600000,650000,700000,3,1,2, , , , , ,30,30, , , , ,40,1,1,3,8,3
5,1,1,27,2,1,2,8, , , , , , , ,3,2,2013,8,1,1,1,5,1,5,7, , , , , , , , ,1,4,7,1,8,5,1,5,8,1,2, , , , , , ,2,3, , , , ,1,1, , ,2,1,3, , ,1, , , , , ,60,20,10,10,6,7,4,6,7,4,1,9, , , , , , , , , , , , ,7,3,10,8,7,1,1,7, , , , , , ,2, , , , , ,3, ,6, , , , , ,5, , , , , , ,22, , , , ,2, , , , ,2, , , , ,22, , , , ,22, , , , , , , , , ,8, , , , ,2,9, , , , , , , , , , , , , ,1, , , , ,2, , , , ,9, , , , ,1, , , , ,4, , , , , , , , , , , , , , , , , ,1,2,1, , , , ,1,30,8,1,5,3, , , , ,2,30,5,8,1,115, , , , , , , , , , , , , , , , , , , ,504, , , , , , , , , , , , , , ,801, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,100,0,2, , ,2, ,1,1, , , , , , ,5,6,5,6,5,6, , , , , , , ,3, , , , , , ,4,9, , , , ,500,1000,1500,2000,2500,3,1,4, , , , , ,30, , ,20, , ,50,2, , ,4,8
6,1,1,37,4,1,1,8, , , , , , , ,3,2,2013,1,1,1,1,5,1,14,1,2,7, , , , , , ,2,2,3,1,8, ,8,10, ,3, , , , , , , ,3,4, , , , , ,1,1, ,3,1,2,2000,2, , , , , , ,50,30,10,10,4,3,4,3,4,5,2,8,10, , , , , , , , , , , ,3,8,10,2,1,6,1,2,7, , , , , ,4,3, , , , ,4, ,4,4, , , , ,3, , , , , , , , , , , ,8, , , , ,2, , , , ,16, , , , ,6, , , , , , , , , ,16, , , , ,1,1,8, , , , , , , , , , , , ,1,2, , , ,3,1, , , , ,2, , , ,1,2, , , ,3,4, , , ,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,12, , , , ,1,30,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,802, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,100,0,2, , ,2, ,1,2, , , , , , ,3,4,3,4,4,4,3,5, , , , , , , , , , , , ,3,1, , , , ,100,200,300,400,500,1,1,3, , , , , ,100, ,0, , , ,0,1,1,1,1,5
7,1,1,30,3,1,2,8, , , , , , , ,3,2,2013,2,1,1,1,4,1,5,1,7,8, , , , , , ,3,6,6,5,1,8,5, , ,3,4, , , , , , ,4, , , , , , , ,1, ,1,1,2,2000,2, , , , , , ,75,10,5,10,6,6,7,5,5,6,6, , , , , , , , , , , , , ,3,12,1,1,7,8,1,7,8, , , , , ,3, , , , , ,3,4,5, , , , , ,5,5, , , , , ,18, , , , ,8, , , , ,3, , , , ,22, , , , ,22, , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , ,1,2, , , ,3,3, , , , , , , , ,2, , , , , ,4, , , ,6, , , , , , , , , , , , ,3,2, , , , , , , , , , ,11, , , , ,1,30,5,6,1,107, , , , , , , , , , , , , , , , , , , ,512, , , , ,820, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,90,10,1,1,4, , ,1,2, , , , , , ,4,4,5,4,5,5, , , , , , , ,1, , , , , , ,2,6, , , , ,50000,80000,100000,120000,130000,3,1,2,3,4, , , ,60,10,5,5, , ,20,2, , ,4,2
8,1,1,30,3,1,2,8, , , , , , , ,3,2,2013,3,1,1,1,4,1,5,1,2,3,7,8, , , , ,1,5,7,1,4,3,3,1,8,2,3,4,5,6, , , ,2,4, , , , ,1, ,1, ,2,1,1,500,3500, , , , , , ,70,10,10,10,6,6,6,6,7,6,1,5,6,8,9,10,12, , , , , , , ,16,13,12,2,3,1,1,2,3,7,8, , , ,4,6,5, , , ,5,5,6,6,5, , , ,6,6, , , , , , , , , , , , , , , ,43, , , , ,22, , , , ,22, , , , , , , , , , , , , , ,1,1,9,10,11, , , , , , , , , , ,1,2,3,4,5,1,1,2,2,1,3,4,3,3,3,1,2,3,4, ,6,6,6,6, , , , , , ,30,40,30,98, , , , ,4,2, , , , , , , , , , ,11, , , , ,2,0,1,3,4,103, , , , , , , , , ,302, , , , ,402, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,90,10,1,7,1, , ,1,2, , , , , , ,5,6,6,6,6,6, , , , , , , ,2,4,5,6, , , ,2,5, , , , ,20000,25000,30000,33000,35000,1,1,2,3,4,5, , ,25,15,25,5,5, ,25,1,2, ,4,7
9,1,12,39,4,1,1,8, , , , , , , ,4,2,2013,7,1,1,1,5,1,14,1,2,7, , , , , , ,1,3,4,1,10,5,12,4,8,6, , , , , , , ,2, , , , , ,1, , , ,3,1,2,3000,15, , , , , , ,50,30,15,5,4,3,4,4,4,4,6,8, , , , , , , , , , , , ,12,7,2,1,2,7,1,2,7, , , , , ,4,3, , , , ,3, ,4,4, , , , ,4, , , , , , , , , , , ,7, , , , ,44, , , , ,7, , , , ,15, , , , , , , , , ,7, , , , ,2,8,9, , , , , , , , , , , , ,4, , , , , , , ,2, , , , ,3, ,4, , , , , , , ,4, , , , , , , , , , , , , , ,4,1,13, , , , ,1,10,1,4,9,8, , , , ,1,30,9,6,10,112, , , , , , , , , , , , , , ,403, , , , , , , , , ,9998, , , , , , , , , , , , , , ,910, , , , ,520, , , , , , , , , , , , , , , , , , , ,4,80,20,2, , ,2, ,2,2, , , , , , ,4,3,4,4,4,4,4, , , , , , , , , , , , , ,1,7, , , , ,1000,2000,3000,4000,5000,3,4, , , , , , , , , ,30, , ,70,1,1,2,3,6
10,1,1,31,3,1,1,8, , , , , , , ,3,1,2013,5,1,1,1,4,1,14,1,7,8, , , , , , ,1,3,5,1,4,8,1,8,2,1,2,3,4,5, , , ,4, , , , , , , ,1, ,3,1,2,10000,10, , , , , , ,50,30,10,10,7,7,7,7,7,4,9,12, , , , , , , , , , , , ,16,9,4,7,2,8,1,2,7,8, , , , ,4,2, , , , ,4,3,7,4, , , , ,7,4, , , , , , , , , , ,2, , , , ,2, , , , ,42, , , , ,22, , , , , , , , , , , , , , ,2,8,9, , , , , , , , , , , , ,1,3,5, , ,3, ,3, ,3, , , , , ,1,3, , , ,4, ,7, , , , , , , ,80,20,0,1, , , , ,2,1,3, , , , ,1,10,1,8,3,11, , , , ,1,10,1,8,3,104, , , , , , , , , ,301, , , , , , , , , , , , , , , , , , , , , , , , ,801, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,100,0,2, , ,1,5,2,2, , , , , , ,1,4,7,7,7,7, , , , , , , ,1,4,5,6, , , ,5,1, , , , ,10000,10000,20000,20000,30000,1,1,3,4, , , , ,30, ,20,20, , ,30,1,2, ,4,4
12,1,8,55,8,2,2,8, , , , , , , ,4,1,2013,6,1,1,1,4,1,5,1,7, , , , , , , ,1,6,7,2,5,1,2,5,1,2,4, , , , , , ,2, , , , , ,1, , , ,3,1,3, , ,1,3, , , , ,20,10,20,50,7,7,7,7,7,4,8, , , , , , , , , , , , , ,7,8,3,7,8,2,1,7, , , , , , ,4, , , , , ,6, ,7, , , , , ,7, , , , , , ,8, , , , ,8, , , , ,42, , , , ,42, , , , ,42, , , , , , , , , ,8, , , , ,1,8,10, , , , , , , , , , , , ,2, , , , , ,2, , , , ,9, , , ,2, , , , , ,7, , , , , , , , , , , , , , , , ,1,3,5, , , , ,1,0,1,8,4,98, , , , ,2,0,1,4,8,115, , , , , , , , , , , , , , ,120, , , , , , , , , , , , , , , , , , , ,801, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,100,0,2, , ,2, ,2,1, , , , , , ,7,4,4,4,7,7, , , , , , , ,1,5, , , , , ,5,1, , , , ,2000,4000,6000,8000,10000,1,2, , , , , , , ,10, , , , ,90,1,1,5,8,4
